smiles,pert_iname,broad_id,activity_model_0,activity_model_1,activity_model_2,activity_model_3,activity_model_4,activity_model_5,activity_model_6,activity_model_7,activity_model_8,activity_model_9
Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)Nc1ccc(OCCOCCOCCOCCNc3cccc4C(=O)N([C@H]5CCC(=O)NC5=O)C(=O)c34)cc1)c1nnc(C)n-21)c1ccc(Cl)cc1,ARV-825,BRD-A00047421-001-01-7,0.16152853,0.8055363,0.24749583,0.6992811,0.3697404,0.14651962,0.4055298,0.028472284,0.26305482,0.045172535
C[C@@H](NC(=O)[C@H]1CSCN1C(=O)c1ccccc1)c1ccccc1,3-benzoyl-n-(1-phenylethyl)thiazolidine-4-carboxamide,BRD-A00055058-001-01-0,0.0019243814,0.0025712913,0.01653089,0.075133234,0.03710621,0.05134912,0.007957078,0.0053872955,0.003998772,0.035704266
Nc1nc(=O)c2nc(Br)n([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3O)c2[nH]1,8-bromo-cGMP,BRD-A00077618-236-07-6,0.9446659,0.99937266,0.99997246,0.9987998,0.9999981,0.9999498,0.9974981,0.99906236,0.99911577,0.99718887
CCCC[C@@H](CC)COC(=O)C[C@@H](C(=O)OC[C@@H](CC)CCCC)S(O)(=O)=O,docusate,BRD-A00092689-236-03-8,0.055551875,0.48783183,0.09722561,0.34045914,0.5363707,0.24033773,0.38587692,0.62722623,0.41878766,0.6835816
CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,nifurtimox,BRD-A00100033-001-08-9,0.9730535,0.9943053,0.997547,0.99414945,0.99422896,0.9712612,0.9808412,0.98675424,0.98931956,0.9844558
Cn1c(COc2ccc(C[C@H]3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,balaglitazone,BRD-A00147595-001-01-5,0.07443457,0.0239077,0.01857267,0.035849106,0.051098607,0.11108135,0.047257207,0.01764567,0.12335979,0.09810581
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,flutrimazole,BRD-A00218260-001-03-4,0.102956176,0.087832265,0.15573432,0.04664724,0.028409088,0.16697817,0.19873308,0.21362086,0.05090459,0.224639
O[C@H]1O[C@@H]2CO[C@@H](O[C@H]2[C@H](O)[C@H]1O)c1ccccc1,KBG,BRD-A00376169-001-01-6,0.115931235,0.22545639,0.21629663,0.13320765,0.08517039,0.22066203,0.12384307,0.51943135,0.0657053,0.30296445
CCN(CC)C[C@H]1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12,otenzepad,BRD-A00520476-001-07-4,0.03273255,0.11644129,0.03626389,0.033964377,0.006462761,0.06702202,0.31852144,0.050452262,0.073940165,0.14124943
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,biperiden hcl,BRD-A00546892-003-05-5,0.091709405,0.023284443,0.034140367,0.06915205,0.02743257,0.09194988,0.010785168,0.030757314,0.02776523,0.18747841
COc1ccc2CCC[C@@H](C(=O)N(Cc3ccc(cc3)N(C)C)c3ccc(cc3)C(C)C)c2c1,W-54011,BRD-A00559310-003-01-1,0.08467566,0.35001186,0.060572207,0.09745446,0.1596846,0.12505913,0.10716764,0.08149226,0.15723117,0.10791143
C[C@@H](C(O)=O)c1ccc2Sc3ccccc3C(=O)Cc2c1,zaltoprofen,BRD-A00578795-001-04-3,0.032896973,0.037862293,0.114325225,0.039215967,0.078982495,0.2912371,0.09213921,0.04300929,0.035685983,0.099571064
C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@]2(O)C#C,noretynodrel,BRD-A00758722-001-04-9,0.005470074,0.030864742,0.044891153,0.013858061,0.01795805,0.08678898,0.0072943345,0.020492306,0.013910081,0.09485892
Cn1c2ncn(C[C@@H](O)CO)c2c(=O)n(C)c1=O,dyphylline,BRD-A00827783-001-23-8,0.10419265,0.20335904,0.4431378,0.4113675,0.098325364,0.35928303,0.07343884,0.366799,0.17291586,0.40021402
COC(=O)C1=CO[C@@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)\C(=C/C)[C@@H]1CC(=O)OCCc1ccc(O)c(O)c1,oleuropein,BRD-A00842753-001-01-9,0.8825739,0.82292604,0.9272509,0.854857,0.98987985,0.9373175,0.5123011,0.58973116,0.93669313,0.9383939
CC(C)NCC(O)COc1ccccc1CC=C,alprenolol,BRD-A00993607-003-24-6,0.05082272,0.059850104,0.09047398,0.015654087,0.09782717,0.08948463,0.1497747,0.04086582,0.013389297,0.11840685
CC[C@@H]([C@@H](CC)c1ccc(O)cc1)c1ccc(O)cc1,hexestrol,BRD-A01078468-001-14-8,0.23289081,0.37546664,0.2942543,0.36845404,0.30008334,0.32581067,0.21529222,0.29655614,0.24226685,0.38901755
CC(C)OC(=O)C1=C(C)NC(N)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1,azelnidipine,BRD-A01098288-001-02-9,0.60681725,0.44778743,0.08921331,0.33780363,0.18510398,0.23886772,0.7254026,0.17227556,0.28269035,0.37503284
CCOc1ccc(cc1)-n1c(nc2ncccc2c1=O)[C@@H](C)N(Cc1cccnc1)C(=O)Cc1ccc(OC(F)(F)F)cc1,AMG-487-(+/-),BRD-A01307728-001-01-4,0.13863969,0.13105191,0.23065189,0.13822566,0.075123124,0.16037656,0.101195864,0.17323758,0.18714559,0.28095332
C[C@@H](O)COC[C@H]1O[C@@H]2O[C@@H]3[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]4[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]5[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]6[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]7[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]8[C@@H](COC[C@@H](C)O)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,hydroxypropyl-beta-cyclodextrin,BRD-A01412266-001-01-0,0.0018050737,0.0071650674,0.0035695117,0.006111806,0.006118236,0.021547787,0.0022694967,0.0004646781,0.0013483339,0.046260145
COc1cccc(OC)c1OCCNC[C@H]1COc2ccccc2O1,WB-4101,BRD-A01493904-003-12-1,0.20182984,0.050652444,0.088385746,0.23878466,0.06342973,0.20600416,0.15713285,0.09719466,0.13365492,0.19929354
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(Cl)c1Cl)C(=O)OC,cleviprex,BRD-A01563671-001-02-7,0.028571522,0.092558764,0.016946128,0.03526369,0.01624367,0.04503134,0.051772006,0.020585135,0.013338626,0.11784242
CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,chlormadinone acetate,BRD-A01593789-001-03-1,0.27152002,0.15779096,0.09070301,0.10667982,0.18406206,0.24347459,0.020156354,0.41990724,0.08850828,0.36482173
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,bupivacaine hydrochloride,BRD-A01636364-003-15-1,0.031866305,0.027061336,0.027299874,0.010847225,0.0128700705,0.09291254,0.022795022,0.022152923,0.016190836,0.09010342
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12C,prednisolone acetate,BRD-A01643550-001-04-9,0.2536236,0.15209928,0.094986364,0.01915158,0.5538296,0.36223078,0.053670608,0.039251216,0.024669116,0.6550524
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@H]3[C@@H](O)C[C@]12C,prednisolone-acetate,BRD-A01643550-001-04-9,0.0058422284,0.021228326,0.044029266,0.004702182,0.050788872,0.039690077,0.0035804028,0.0045265662,0.0061012018,0.12087864
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,naftopidil dihcl,BRD-A01787639-300-08-6,0.055726785,0.12380002,0.09548252,0.017564923,0.03620884,0.15783422,0.09074072,0.14129025,0.015921693,0.07916935
C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)CC[S@@](C)=O,FK-33-824,BRD-A01907367-001-01-7,0.24615449,0.34245268,0.41277093,0.4195425,0.61248595,0.11615932,0.21692851,0.7651906,0.21303557,0.6638194
CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,malathion,BRD-A01976766-001-04-3,0.0046048746,0.020419778,0.022999946,0.1040892,0.018623985,0.06778675,0.037030775,0.01619762,0.003016016,0.07159076
CCOC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC,nitrendipine,BRD-A02006392-001-15-6,0.5953608,0.6655953,0.32044667,0.50617754,0.57011676,0.5487952,0.6786126,0.53550977,0.6254712,0.6536454
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903-001-04-5,0.097521335,0.43753046,0.07004099,0.060368795,0.20699209,0.17276473,0.0030944252,0.09466534,0.052873828,0.5112434
CC[C@@H](C)[C@@H](N)C(O)=O,isoleucine,BRD-A02232681-001-01-8,0.019611243,0.030657431,0.06897305,0.11208646,0.030006478,0.16099192,0.07211852,0.12855914,0.03133257,0.2715825
Nc1ccn(C2CSC(CO)O2)c(=O)n1,lamivudine,BRD-A02309928-001-04-1,0.40243015,0.23830585,0.53169495,0.43400082,0.50174755,0.6450363,0.29547283,0.2293191,0.14232053,0.4446925
CNCCCOc1cc(F)c(c(F)c1)-c1c(Cl)nc2ncnn2c1NC(C)C(F)(F)F,cevipabulin,BRD-A02473266-001-01-1,0.123222485,0.07607258,0.50882196,0.2697839,0.3416765,0.5149709,0.045752957,0.19360626,0.24096617,0.67093116
CNCCC[C@]1(OC(C)(C)c2ccccc12)c1ccccc1,talopram,BRD-A02532772-003-01-7,0.65369236,0.59341353,0.4800019,0.69562906,0.6808389,0.4041415,0.44350612,0.44738832,0.36819905,0.49368253
CC[C@]1(CCCCN(C)C1)c1cccc(O)c1,meptazinol,BRD-A02710418-001-15-9,0.021683354,0.042228933,0.032344263,0.025531892,0.014994247,0.053665083,0.12765816,0.04349487,0.0261456,0.088373706
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1,cilnidipine,BRD-A02743701-001-03-6,0.12260354,0.15792464,0.035798386,0.0499822,0.10871975,0.24079563,0.11315364,0.1682271,0.14202558,0.2881035
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,betaxolol hydrochloride,BRD-A02759312-003-24-5,0.100423984,0.109619044,0.090185694,0.029686961,0.1662144,0.100638054,0.08897692,0.0751222,0.07922222,0.12620582
Cc1ccnc2[C@@H](CCCc12)C(N)=S,isotiquimide,BRD-A02933148-001-01-8,0.42814884,0.6341704,0.41913986,0.52861834,0.39324993,0.4675785,0.5237694,0.33434927,0.43244395,0.5111636
N[C@@H](C(O)=O)c1cc(=O)[nH]o1,ibotenic-acid,BRD-A02971356-001-07-2,0.24597634,0.25299534,0.30206874,0.15622638,0.31860268,0.5187521,0.22532393,0.5872271,0.33512372,0.48261303
C[C@@H](Oc1c(Cl)cccc1Cl)C1=NCCN1,lofexidine,BRD-A02990301-003-05-8,0.12191497,0.11153123,0.34176263,0.31842956,0.5414794,0.2614713,0.15766859,0.37553245,0.2028773,0.4239789
COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C,alizapride hcl,BRD-A03061970-003-07-3,0.00076017465,0.00016437734,0.000602477,0.0015651389,5.9815895e-05,0.0011565253,0.00065457437,0.0006914242,0.00044495854,0.0041764867
CN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,mepivacaine,BRD-A03216249-003-23-5,0.034649752,0.01589186,0.014177504,0.0067485743,0.022116417,0.03811638,0.007161368,0.021580579,0.014382666,0.05248255
O[C@@H](CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N,ICI-89406,BRD-A03359064-001-02-3,0.0069674337,0.00597061,0.01468242,0.0013387487,0.0031184887,0.00745301,0.0031306127,0.0022443635,0.0019384586,0.019818867
OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,floxuridine,BRD-A03757454-001-03-4,0.9887828,0.9862281,0.99399865,0.9776244,0.9934968,0.9614123,0.9862918,0.98272437,0.9890465,0.95922613
OC(=O)CC(O)(CC(=O)O[Bi]1OC(=O)CC(O)(CC(O)=O)C(=O)O1)C(O)=O,bismuth subcitrate potassium,BRD-A03880619-001-02-8,0.34701812,0.13239986,0.043799583,0.39743206,0.06509701,0.20502687,0.32142544,0.43117926,0.27429917,0.38894388
CC1(C)C2CCC1(C)C(=O)N(CCCCN1CCN(CC1)c1ccccn1)C2=O,piricapiron,BRD-A04203391-001-08-3,0.02771017,0.0066192606,0.012841787,0.011307361,0.0035282464,0.115107864,0.021353332,0.0044279746,0.0108314175,0.05579774
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,isoprenaline,BRD-A04322457-003-15-3,0.31038913,0.15312807,0.22094224,0.28334764,0.30627766,0.26777545,0.28697687,0.28610316,0.1825003,0.31822845
CNCC(O)c1ccc(O)cc1,synephrine (oxedrine),BRD-A04327189-001-16-9,0.05642751,0.10990804,0.06251977,0.10164106,0.03720451,0.11227015,0.064470306,0.16983289,0.06492191,0.19184177
CC(C)c1nnc(C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,maraviroc,BRD-A04352665-001-05-3,0.21310098,0.29545918,0.34804747,0.42595595,0.13727134,0.35342646,0.16078314,0.2583607,0.15581265,0.54460067
C[C@@H](N)Cc1cccc(O)c1,gepefrine,BRD-A04447196-001-01-8,0.10224901,0.1484318,0.16035308,0.17081283,0.19394298,0.29156315,0.21244769,0.13838956,0.07820397,0.28306285
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=O)[C@@H](C[C@]35C)C#N)[C@@H]1CC[C@@H]2O,trilostane,BRD-A04497688-001-03-4,0.41521192,0.6324641,0.2486549,0.323071,0.18852325,0.41320547,0.27832323,0.29101884,0.39855936,0.50178874
C[C@@H](SC(=O)c1cccs1)C(=O)NCC(O)=O,stepronin,BRD-A04506385-001-01-2,0.23483661,0.30943292,0.51986706,0.4738199,0.2140454,0.47978303,0.45095888,0.34519598,0.24976939,0.5627306
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,chlorpheniramine maleate,BRD-A04553218-050-16-2,0.021429569,0.032656092,0.06748988,0.070440605,0.02054282,0.09190549,0.055611875,0.01844671,0.029108508,0.07882358
CC[C@@H](C)[C@@H](N)C(=O)NCCN1CCOCC1,LM11A-31,BRD-A04649065-001-01-7,0.0048288186,0.017586872,0.006921741,0.017811345,0.0031627167,0.052440416,0.013437411,0.0431833,0.0036937078,0.098248556
O=C1Nc2ccccc2C2=N[C@@H](CN3CCN(CC3)c3ccccc3)CN12,2-PMDQ,BRD-A04661934-001-02-9,0.10888664,0.44502872,0.2565653,0.07244651,0.5326399,0.4473949,0.2203518,0.25085455,0.26222047,0.39407292
[O-][N+](=O)c1c(cc2c(c1)NC(CC2)CNC(C)C)CO,oxamniquine,BRD-A04843135-001-09-9,0.6108154,0.50245935,0.5646929,0.3876983,0.37824604,0.60681134,0.5080748,0.29406753,0.45697287,0.6483757
N[C@@H](C(=O)NC1C2CCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1,7-((r)-2-amino-2-phenylacetamido)-3-chloro-8-oxo-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid hydrate,BRD-A04915500-002-01-3,0.21550614,0.616855,0.39159426,0.3937763,0.1352241,0.43902782,0.20599121,0.095016085,0.09859817,0.36998433
CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1Cl,cloranolol,BRD-A04971881-003-01-3,0.027538296,0.06819143,0.16525866,0.0159685,0.019107657,0.14356025,0.02302248,0.03431246,0.0036416054,0.13301389
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,amfebutamone hcl,BRD-A05186015-003-19-8,0.10304967,0.106040575,0.36033854,0.18538216,0.1659292,0.31476557,0.20522448,0.2221939,0.14305604,0.36254737
C[C@@H](O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,lisofylline,BRD-A05334458-001-02-8,0.030143173,0.10301319,0.2860306,0.106777534,0.01138982,0.17326854,0.07699376,0.046221815,0.051253516,0.16227613
COC(=O)C1=C(C)NC(C)=C([C@@H]1c1ccccc1C(F)(F)F)[N+]([O-])=O,BAY-K-8644-(+/-),BRD-A05457250-001-08-4,0.94703066,0.8730545,0.8512816,0.8983358,0.87944436,0.9088113,0.9527245,0.9361032,0.7916981,0.7257848
OC(=O)CSCC(=O)N[C@H]1CCSC1=O,erdosteine,BRD-A05515753-001-02-4,0.037254825,0.062228944,0.037591405,0.022617765,0.03205177,0.17318586,0.023292141,0.054839943,0.030234449,0.15116026
CCOC(=O)N1CSC[C@@H]1C(O)=O,telmesteine,BRD-A05523972-001-01-5,0.015042735,0.07049926,0.19795789,0.4146608,0.23431279,0.34055495,0.13702458,0.08587461,0.09173052,0.31164086
C[C@@]1(O)CCOC(=O)C1,"D,L-mevalonic-acid-lactone",BRD-A05674712-001-06-0,0.5261403,0.5586853,0.5280906,0.47570765,0.5779023,0.58316076,0.58646035,0.59573853,0.513153,0.6013978
CCN1C[C@@]2(CC[C@@H](OC)[C@@]34[C@H]5C[C@H]6[C@H](OC)[C@]5(O)[C@](O)(C[C@@H]6OC)[C@H](C[C@H]23)C14)OC(=O)c1ccccc1NC(C)=O,lappaconite hbr,BRD-A05906449-004-01-1,0.018600909,0.0050227037,0.17743483,0.036952075,0.0052246144,0.04075405,0.14572357,0.00065868173,0.0012080151,0.04391816
CCCCN(CCCC)C[C@@H](O)c1cc(Cl)cc2\C(=C/c3ccc(Cl)cc3)c3cc(Cl)ccc3-c12,lumefantrine,BRD-A05926236-001-03-8,0.05754865,0.15113929,0.11308813,0.20639184,0.04151166,0.14349145,0.21343373,0.22394755,0.2213762,0.2197943
CC[C@H](C)[C@H](N)C1=NCC(S1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]1CCC(=O)O[Zn]OC(=O)C[C@H]2NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC(=O)[C@H](CCCCNC(=O)[C@H](CC(N)=O)NC2=O)NC(=O)[C@@H](NC1=O)[C@H](C)CC)[C@H](C)CC,bacitracin zinc,BRD-A06016120-001-01-0,0.22095132,0.48274392,0.1269582,0.14761338,0.58035994,0.08413209,0.024035301,0.028558401,0.021153333,0.5652246
CC(C)(C)c1ccc(cc1)[C@@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,terfenadine,BRD-A06352418-001-24-2,0.13132001,0.16456361,0.091018625,0.15806171,0.033880297,0.11479964,0.058791492,0.14182833,0.08044365,0.20145859
CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,hydroquinidine,BRD-A06390036-001-04-6,0.22818626,0.4160745,0.17935838,0.16167222,0.5573032,0.19767621,0.35189098,0.32846805,0.10235354,0.24412651
Clc1ccc(cc1)[C@@H](C#N)c1c(Cl)cc(cc1Cl)-n1ncc(=O)[nH]c1=O,diclazuril,BRD-A06426627-001-03-5,0.6557387,0.3777622,0.4112495,0.8518152,0.62877285,0.26748034,0.7545277,0.6347868,0.68548346,0.4419483
CCCCCOc1ccc(cc1)-c1cc(no1)-c1ccc(cc1)C(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2[C@@H](O)[C@@H](C)CN2C(=O)C(NC(=O)C(NC(=O)C2C[C@@H](O)CN2C(=O)C(NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(O)c(OS(O)(=O)=O)c1)[C@H](O)CC(N)=O,micafungin (sodium),BRD-A06596811-236-03-3,0.9378341,0.7294564,0.97769994,0.9884545,0.8927146,0.9237341,0.84366447,0.882076,0.4609031,0.9659037
CC[C@]1(CC[C@@H](O1)[C@]1(C)CC[C@]2(C[C@H](O)[C@@H](C)[C@H](O2)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O1)C1O[C@H](C[C@@H]1C)C1O[C@@](O)(CO)[C@H](C)C[C@@H]1C,sodium monensin,BRD-A06627858-236-02-2,0.80318433,0.8107108,0.96754944,0.7001443,0.9329783,0.7338564,0.7802999,0.7001243,0.9799952,0.84986347
COc1cc(ccc1O)[C@H]1Oc2ccc(cc2O[C@@H]1CO)[C@H]1Oc2cc(O)cc(O)c2C(=O)[C@@H]1O,silymarin,BRD-A06629414-001-02-3,0.36441338,0.18251246,0.33591217,0.6214734,0.24920511,0.615153,0.45802465,0.47250506,0.28019932,0.45500022
CCCC(CCC)C(=O)O[C@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,anisotropine methylbromide,BRD-A06771424-004-01-7,0.021515487,0.113692485,0.09275926,0.03941047,0.029134959,0.06860443,0.02036951,0.0073665264,0.010141219,0.14319615
CCOC(=O)C1=C(C)NC(=C([C@@H]1C#Cc1ccccc1)C(=O)OCc1ccc(cc1)[N+]([O-])=O)c1ccccc1,MRS-1334,BRD-A06784547-001-02-6,0.8008317,0.86787075,0.43131343,0.65766937,0.96789664,0.6963795,0.7773193,0.5030253,0.48960397,0.68715405
OC(=O)CCCC[C@@H](CCSCc1ccccc1)SCc1ccccc1,CPI-613,BRD-A06916187-001-02-9,0.110238716,0.36512047,0.24667762,0.27409488,0.12668948,0.2699243,0.59572244,0.17861979,0.28765655,0.46034998
C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@@H]2[C@]1(C)C[C@H](OC(C)=O)\C2=C(/CCC=C(C)C)C(O)=O,fusidic acid,BRD-A06935312-001-04-3,0.2559139,0.61533785,0.461106,0.7955978,0.89010257,0.74834514,0.31534496,0.58494294,0.050990693,0.9159146
C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O,hydrocortisone hemisuccinate,BRD-A07000685-001-04-4,0.058824204,0.0043436647,0.016597457,0.00443793,0.065754466,0.17443457,0.0046568755,0.005879611,0.0046490994,0.2858136
CC(C)(C)NC[C@@H](O)c1ccc(O)cc1Cl,meluadrine,BRD-A07164067-001-01-2,0.2088676,0.32423362,0.15979475,0.26307416,0.10227831,0.3345565,0.099993475,0.25823498,0.27224392,0.3695917
CCCCOc1cc(C[C@H]2CNC(=O)N2)ccc1OC,Ro-20-1724,BRD-A07207424-001-13-2,0.052125398,0.026171157,0.033347387,0.06037676,0.17180479,0.3170026,0.23903085,0.050423052,0.045210972,0.23602559
CCC(=O)N[C@H]1CCc2cccc(OC)c2C1,8-M-PDOT,BRD-A07232941-001-02-7,0.03949178,0.017688148,0.045240413,0.02000999,0.014483351,0.052398067,0.024186095,0.066002674,0.04213564,0.115269706
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,esmolol hcl,BRD-A07395371-003-10-0,0.0020289044,0.0029980438,0.0063096154,0.0008332533,0.0052872514,0.025382468,0.0050328146,0.004550762,0.0010015034,0.02401547
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,labetalol hydrochloride,BRD-A07440155-003-25-4,0.6163282,0.58694005,0.46902335,0.5545583,0.3151184,0.41371855,0.39921504,0.2396663,0.4584893,0.5647803
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O,meclocycline-sulfosalicylate,BRD-A07600638-060-04-5,0.9954672,0.9898206,0.9954136,0.99814785,0.99888605,0.9845918,0.9908568,0.99035245,0.98500776,0.9761928
CC(C)c1ccc2Sc3cc(F)ccc3C[C@@H](N3CCN(CCO)CC3)c2c1,isofloxythepin,BRD-A07704283-001-01-3,0.108615436,0.1307156,0.005011121,0.038865816,0.10129469,0.1424184,0.030979594,0.013716189,0.032155555,0.13267252
CC(C)NCC(O)c1cc(O)cc(O)c1,metaproterenol,BRD-A07780951-001-08-9,0.285776,0.098499574,0.10159948,0.25861493,0.14649005,0.22093606,0.29143363,0.15625034,0.1417614,0.30493543
OC[C@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,kakonein,BRD-A07815743-001-01-1,0.7487783,0.54314256,0.45894668,0.26302865,0.65808034,0.7371946,0.1787064,0.30546644,0.4334275,0.63850164
CC(C)(C)C1CCC(C[C@H]2C(=O)C(=O)c3ccccc3C2=O)CC1,buparvaquone,BRD-A07947329-001-01-4,0.1577748,0.25283173,0.13982692,0.12876207,0.116631895,0.22464198,0.092264704,0.1670461,0.26591742,0.1835682
OC[C@H]1O[C@H]2O[C@H]3[C@@H](CO)O[C@@H](O[C@H]4[C@@H](CO)O[C@@H](O[C@H]5[C@@H](CO)O[C@@H](O[C@H]6[C@@H](CO)O[C@@H](O[C@H]7[C@@H](CO)O[C@@H](O[C@H]8[C@@H](CO)O[C@@H](O[C@@H]1[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]8O)[C@@H](O)[C@@H]7O)[C@@H](O)[C@@H]6O)[C@@H](O)[C@@H]5O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@@H]3O,CDBA,BRD-A08079565-001-01-8,0.06201455,0.23882751,0.07428387,0.051252317,0.16109137,0.10905652,0.036893796,0.022156117,0.08536247,0.20688976
CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,racecadotril,BRD-A08187463-001-11-1,0.033612873,0.096760795,0.07119943,0.020879107,0.038470387,0.049938053,0.0231434,0.060959496,0.042938404,0.088688016
CC(C)c1c(CN(C)[C@@H](C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,famprofazone,BRD-A08255417-001-13-9,0.01820024,0.013402271,0.0006622002,0.009123856,0.027532332,0.03723118,0.027461832,0.047390047,0.011333126,0.046520345
CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CC[C@@]2(O)C#C,etonogestrel,BRD-A08302182-001-01-7,0.34371156,0.16979937,0.37442523,0.03414262,0.12070473,0.3606409,0.04921504,0.07887808,0.03346155,0.1915029
CC(C)(C)NC[C@@H](O)c1cc(Br)no1,broxaterol,BRD-A08316590-001-01-3,0.040759236,0.067236416,0.079775274,0.061724424,0.047937,0.12650977,0.097383,0.058157157,0.012508157,0.13602352
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)c2c(O)cccc12,doxycycline hcl,BRD-A08545410-003-08-6,0.99752134,0.9961212,0.9902754,0.9977518,0.9961887,0.9783095,0.998103,0.99693847,0.9961151,0.98519045
